stock_id,stock_name,market,security_type,as_of,price,change_pct,trade_value,trade_volume,sector,scanner_score,scanner_rank,source,data_quality,stale
2481,強茂,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,162.0,8.0,8173357000.0,51830.0,24,98.957935,1,FUGLE_MARKETDATA_V1,GOOD,False
3443,創意,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,6480.0,5.88,13074030000.0,2083.0,24,98.723709,2,FUGLE_MARKETDATA_V1,GOOD,False
6706,惠特,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,151.0,9.82,3261026000.0,22591.0,26,97.882409,3,FUGLE_MARKETDATA_V1,GOOD,False
2351,順德,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,250.5,7.05,2589897500.0,10562.0,24,97.275335,4,FUGLE_MARKETDATA_V1,GOOD,False
3665,貿聯-KY,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,1960.0,4.53,3099590000.0,1611.0,31,96.768642,5,FUGLE_MARKETDATA_V1,GOOD,False
2338,光罩,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,50.3,5.34,2301406850.0,46093.0,24,96.641969,6,FUGLE_MARKETDATA_V1,GOOD,False
2305,全友,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,45.15,9.99,1430566050.0,32960.0,25,96.577438,7,FUGLE_MARKETDATA_V1,GOOD,False
3016,嘉晶,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,114.0,4.11,1941247000.0,17409.0,24,95.736138,8,FUGLE_MARKETDATA_V1,GOOD,False
6226,光鼎,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,33.0,10.0,1061110050.0,32887.0,26,95.733748,9,FUGLE_MARKETDATA_V1,GOOD,False
3029,零壹,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,120.5,3.43,1663749000.0,13702.0,30,94.861377,10,FUGLE_MARKETDATA_V1,GOOD,False
8039,台虹,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,279.0,2.57,2916526500.0,10844.0,28,94.636711,11,FUGLE_MARKETDATA_V1,GOOD,False
6426,統新,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,314.0,3.97,1148686500.0,3657.0,27,94.259082,12,FUGLE_MARKETDATA_V1,GOOD,False
6415,矽力*-KY,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,420.0,4.74,986589500.0,2395.0,24,94.254302,13,FUGLE_MARKETDATA_V1,GOOD,False
2489,瑞軒,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,39.55,7.18,636492800.0,16486.0,26,94.005736,14,FUGLE_MARKETDATA_V1,GOOD,False
2881,富邦金,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,153.0,3.03,1485586500.0,9912.0,17,93.972275,15,FUGLE_MARKETDATA_V1,GOOD,False
3229,晟鈦,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,70.2,4.0,918784700.0,13124.0,28,93.640057,16,FUGLE_MARKETDATA_V1,GOOD,False
3653,健策,TSE,COMMONSTOCK,2026-09-14T12:05:10+08:00,5870.0,1.82,4139960000.0,715.0,28,93.023423,17,FUGLE_MARKETDATA_V1,GOOD,False
